"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","block","sr","outcome","accuracy"
"759","<p> Total Tokens for current block: -898.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","48","222878","0.0-48.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-19",""
"799","<p> Total Tokens for current block: -917.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","49","223679","0.0-49.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"741","<p> Total Tokens for current block: -938.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","50","224422","0.0-50.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"798","<p> Total Tokens for current block: -959.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","51","225221","0.0-51.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-16",""
"807","<p> Total Tokens for current block: -975.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","52","226030","0.0-52.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-20",""
"814","<p> Total Tokens for current block: -995.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","53","226846","0.0-53.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-21",""
"758","<p> Total Tokens for current block: -1016.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","54","227606","0.0-54.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-22",""
"1122","<p> Total Tokens for current block: -1038.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","55","228731","0.0-55.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-24",""
"290","<p> Total Tokens for current block: -1062.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","56","229026","0.0-56.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","0","S","-16",""
"null","<p> Total Tokens for Block 1: -1078.00 </p>","null","html-keyboard-response","57","231096","0.0-57.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"3020","<p> Block 2</div> Press any key to continue. </p>","enter","html-keyboard-response","58","234146","0.0-58.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","","","",""
"1125","<p> Total Tokens for current block: 0.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","59","235272","0.0-59.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"2371","<p> Total Tokens for current block: -100.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","60","237644","0.0-60.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","R","-197",""
"1134","<p> Total Tokens for current block: -297.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","61","238780","0.0-61.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-100",""
"839","<p> Total Tokens for current block: -397.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","62","239620","0.0-62.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","R","-197",""
"1007","<p> Total Tokens for current block: -594.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","63","240628","0.0-63.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"839","<p> Total Tokens for current block: -695.00</p><p>Choose one of the following gambles:</p>","0","html-button-response","64","241468","0.0-64.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","R","-200",""
"851","<p> Total Tokens for current block: -895.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","65","242320","0.0-65.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-103",""
"635","<p> Total Tokens for current block: -998.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","66","242957","0.0-66.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"566","<p> Total Tokens for current block: -1102.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","67","243527","0.0-67.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-98",""
"323","<p> Total Tokens for current block: -1200.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","68","243852","0.0-68.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-101",""
"167","<p> Total Tokens for current block: -1301.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","69","244020","0.0-69.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-95",""
"183","<p> Total Tokens for current block: -1396.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","70","244204","0.0-70.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-104",""
"225","<p> Total Tokens for current block: -1500.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","71","244430","0.0-71.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-99",""
"196","<p> Total Tokens for current block: -1599.00</p><p>Choose one of the following gambles:</p>","1","html-button-response","72","244628","0.0-72.0","647e5f4c5b7dfbc365335f72","64ad530e4483ba3cf33d797a","64babf61409a09ac4c9fb76d","1","S","-103",""
